timestamp,emotion,model,confidence
2025-07-23T19:53:33.953653,unknown,fer,
2025-07-23T19:53:34.646425,surprise,fer,0.41
2025-07-23T19:53:35.414221,neutral,fer,0.66
2025-07-23T19:53:36.196972,neutral,fer,0.84
2025-07-23T19:53:36.961424,neutral,fer,0.71
2025-07-23T19:53:37.777277,neutral,fer,0.69
2025-07-23T19:53:38.513611,neutral,fer,0.93
2025-07-23T19:53:39.280031,neutral,fer,0.86
2025-07-23T19:53:40.044612,neutral,fer,0.91
2025-07-23T19:53:40.798441,neutral,fer,0.87
2025-07-23T19:53:41.544436,neutral,fer,0.75
2025-07-23T19:53:42.364062,neutral,fer,0.84
2025-07-23T19:53:43.132310,surprise,fer,0.6
2025-07-23T19:53:43.962873,neutral,fer,0.6
